full_name,birthdate,birthday,gender,type,start_term,end_term,state,class,district,party,how,zodiac_sign,age_start,age_start,age_end,age_end,duration_days,duration_years,duration_months
Charles Abraham Halleck,1900-08-22,08-22,M,rep,1935-01-03,1937-01-03,IN,,2.0,Republican,,Leo,34.0,34.0,36.0,36.0,731.0,2.0,0.0
Porter  Hardy Jr.,1903-06-01,06-01,M,rep,1947-01-03,1949-01-03,VA,,2.0,Democrat,,Gemini,43.0,43.0,45.0,45.0,731.0,2.0,0.0
Fred Roy Harris,1930-11-13,11-13,M,sen,1964-01-01,1967-01-03,OK,2.0,,Democrat,,Scorpio,33.0,33.0,36.0,36.0,1098.0,3.0,0.0
William Henry Harrison,1896-08-10,08-10,M,rep,1951-01-03,1953-01-03,WY,,0.0,Republican,,Leo,54.0,54.0,56.0,56.0,731.0,2.0,0.0
Albert Sydney Herlong Jr.,1909-02-14,02-14,M,rep,1949-01-03,1951-01-03,FL,,5.0,Democrat,,Aquarius,39.0,39.0,41.0,41.0,730.0,2.0,0.0
Elmer Joseph Holland,1894-01-08,01-08,M,rep,1941-01-03,1943-01-03,PA,,33.0,Democrat,,Capricorn,47.0,47.0,49.0,49.0,730.0,2.0,0.0
Donald Jay Irwin,1926-09-07,09-07,M,rep,1959-01-07,1961-01-03,CT,,4.0,Democrat,,Virgo,32.0,32.0,34.0,34.0,727.0,1.0,12.0
Benjamin Everett Jordan,1896-09-08,09-08,M,sen,1958-04-19,1961-01-03,NC,2.0,,Democrat,appointment,Virgo,61.0,61.0,64.0,64.0,990.0,2.0,8.0
Leonard Beck Jordan,1899-05-15,05-15,M,sen,1962-08-06,1967-01-03,ID,2.0,,Republican,appointment,Taurus,63.0,63.0,67.0,67.0,1611.0,4.0,5.0
Frank Melvin Karsten,1913-01-07,01-07,M,rep,1947-01-03,1949-01-03,MO,,13.0,Democrat,,Capricorn,34.0,34.0,36.0,36.0,731.0,2.0,0.0
Edna Flannery Kelly,1906-08-20,08-20,F,rep,1949-01-03,1951-01-03,NY,,10.0,Democrat,,Leo,42.0,42.0,44.0,44.0,730.0,2.0,0.0
Cecil Rhodes King,1898-01-13,01-13,M,rep,1941-01-03,1943-01-03,CA,,17.0,Democrat,,Capricorn,43.0,43.0,45.0,45.0,730.0,2.0,0.0
Horace Robinson Kornegay,1924-03-12,03-12,M,rep,1961-01-03,1963-01-03,NC,,6.0,Democrat,,Pisces,36.0,36.0,38.0,38.0,730.0,2.0,0.0
Theodore Roosevelt Kupferman,1920-05-12,05-12,M,rep,1965-01-04,1967-01-03,NY,,17.0,Republican,,Taurus,44.0,44.0,46.0,46.0,729.0,1.0,12.0
Hervey Gilbert Machen,1916-10-14,10-14,M,rep,1965-01-04,1967-01-03,MD,,5.0,Democrat,,Libra,48.0,48.0,50.0,50.0,729.0,1.0,12.0
Jack Richard Miller,1916-06-06,06-06,M,sen,1961-01-03,1967-01-03,IA,2.0,,Republican,,Gemini,44.0,44.0,50.0,50.0,2191.0,6.0,0.0
Arch Alfred Moore Jr.,1923-04-16,04-16,M,rep,1957-01-03,1959-01-03,WV,,1.0,Republican,,Aries,33.0,33.0,35.0,35.0,730.0,2.0,0.0
Thomas Gayle Morris,1919-08-20,08-20,M,rep,1959-01-07,1961-01-03,NM,,0.0,Democrat,,Leo,39.0,39.0,41.0,41.0,727.0,1.0,12.0
Abraham Jacob Multer,1900-12-24,12-24,M,rep,1947-01-03,1949-01-03,NY,,14.0,Democrat,,Capricorn,46.0,46.0,48.0,48.0,731.0,2.0,0.0
Karl Earl Mundt,1900-06-03,06-03,M,rep,1939-01-03,1941-01-03,SD,,1.0,Republican,,Gemini,38.0,38.0,40.0,40.0,731.0,2.0,0.0
Barratt  O’Hara,1882-04-28,04-28,M,rep,1949-01-03,1951-01-03,IL,,2.0,Democrat,,Taurus,66.0,66.0,68.0,68.0,730.0,2.0,0.0
Santiago  Polanco-Abreu,1920-10-30,10-30,M,rep,1965-01-04,1967-01-03,PR,,0.0,Popular Democrat,,Scorpio,44.0,44.0,46.0,46.0,729.0,1.0,12.0
Joe Richard Pool,1911-02-18,02-18,M,rep,1963-01-09,1965-01-03,TX,,0.0,Democrat,,Aquarius,51.0,51.0,53.0,53.0,725.0,1.0,12.0
Joseph Yale Resnick,1924-07-13,07-13,M,rep,1965-01-04,1967-01-03,NY,,28.0,Democrat,,Cancer,40.0,40.0,42.0,42.0,729.0,1.0,12.0
George Milton Rhodes,1898-02-24,02-24,M,rep,1949-01-03,1951-01-03,PA,,13.0,Democrat,,Pisces,50.0,50.0,52.0,52.0,730.0,2.0,0.0
Richard Brevard Russell Jr.,1897-11-02,11-02,M,sen,1933-03-09,1937-01-03,GA,2.0,,Democrat,,Scorpio,35.0,35.0,39.0,39.0,1396.0,3.0,10.0
Armistead Inge Selden Jr.,1921-02-20,02-20,M,rep,1953-01-03,1955-01-03,AL,,6.0,Democrat,,Pisces,31.0,31.0,33.0,33.0,730.0,2.0,0.0
James Vernon Smith,1926-07-23,07-23,M,rep,1967-01-10,1969-01-03,OK,,6.0,Republican,,Leo,40.0,40.0,42.0,42.0,724.0,1.0,11.0
Margaret Chase Smith,1897-12-14,12-14,F,rep,1939-01-03,1941-01-03,ME,,2.0,Republican,,Sagittarius,41.0,41.0,43.0,43.0,731.0,2.0,0.0
Herbert  Tenzer,1905-11-01,11-01,M,rep,1965-01-04,1967-01-03,NY,,5.0,Democrat,,Scorpio,59.0,59.0,61.0,61.0,729.0,1.0,12.0
William Munford Tuck,1896-09-28,09-28,M,rep,1953-01-03,1955-01-03,VA,,5.0,Democrat,,Libra,56.0,56.0,58.0,58.0,730.0,2.0,0.0
E. S. Johnny Walker,1911-06-18,06-18,M,rep,1965-01-04,1967-01-03,NM,,0.0,Democrat,,Gemini,53.0,53.0,55.0,55.0,729.0,1.0,12.0
Basil Lee Whitener,1915-05-14,05-14,M,rep,1957-01-03,1959-01-03,NC,,11.0,Democrat,,Taurus,41.0,41.0,43.0,43.0,730.0,2.0,0.0
John Bell Williams,1918-12-04,12-04,M,rep,1947-01-03,1949-01-03,MS,,7.0,Democrat,,Sagittarius,28.0,28.0,30.0,30.0,731.0,2.0,0.0
Edwin Edward Willis,1904-10-02,10-02,M,rep,1949-01-03,1951-01-03,LA,,3.0,Democrat,,Libra,44.0,44.0,46.0,46.0,730.0,2.0,0.0
Jesse Arthur Younger,1893-04-11,04-11,M,rep,1953-01-03,1955-01-03,CA,,9.0,Republican,,Aries,59.0,59.0,61.0,61.0,730.0,2.0,0.0
Marlow Webster Cook,1926-07-27,07-27,M,sen,1968-12-17,1969-01-03,KY,3.0,,Republican,,Leo,42.0,42.0,42.0,42.0,17.0,0.0,0.0
Charles Ellsworth Goodell,1926-03-16,03-16,M,rep,1959-01-07,1961-01-03,NY,,43.0,Republican,,Pisces,32.0,32.0,34.0,34.0,727.0,1.0,12.0
Edwin 'Ross'  Adair,1907-12-14,12-14,M,rep,1951-01-03,1953-01-03,IN,,4.0,Republican,,Sagittarius,43.0,43.0,45.0,45.0,731.0,2.0,0.0
George David Aiken,1892-08-20,08-20,M,sen,1941-01-03,1945-01-03,VT,3.0,,Republican,,Leo,48.0,48.0,52.0,52.0,1461.0,4.0,0.0
William Hanes Ayres,1916-02-05,02-05,M,rep,1951-01-03,1953-01-03,OH,,14.0,Republican,,Aquarius,34.0,34.0,36.0,36.0,731.0,2.0,0.0
William Henry Bates,1917-04-26,04-26,M,rep,1949-01-03,1951-01-03,MA,,6.0,Republican,,Taurus,31.0,31.0,33.0,33.0,730.0,2.0,0.0
James Franklin Battin,1925-02-13,02-13,M,rep,1961-01-03,1963-01-03,MT,,2.0,Republican,,Aquarius,35.0,35.0,37.0,37.0,730.0,2.0,0.0
Wallace Foster Bennett,1898-11-13,11-13,M,sen,1951-01-03,1957-01-03,UT,3.0,,Republican,,Scorpio,52.0,52.0,58.0,58.0,2192.0,6.0,0.0
Ellis Yarnal Berry,1902-10-06,10-06,M,rep,1951-01-03,1953-01-03,SD,,2.0,Republican,,Libra,48.0,48.0,50.0,50.0,731.0,2.0,0.0
Alan Harvey Bible,1909-11-20,11-20,M,sen,1954-12-02,1957-01-03,NV,3.0,,Democrat,,Scorpio,45.0,45.0,47.0,47.0,763.0,2.0,1.0
Laurence Junior Burton,1926-10-30,10-30,M,rep,1963-01-09,1965-01-03,UT,,1.0,Republican,,Scorpio,36.0,36.0,38.0,38.0,725.0,1.0,12.0
Daniel Evan Button,1917-11-01,11-01,M,rep,1967-01-10,1969-01-03,NY,,29.0,Republican,,Scorpio,49.0,49.0,51.0,51.0,724.0,1.0,11.0
William Thomas Cahill,1912-06-25,06-25,M,rep,1959-01-07,1961-01-03,NJ,,1.0,Republican,,Cancer,46.0,46.0,48.0,48.0,727.0,1.0,12.0
Jeffery  Cohelan,1914-06-24,06-24,M,rep,1959-01-07,1961-01-03,CA,,7.0,Democrat,,Cancer,44.0,44.0,46.0,46.0,727.0,1.0,12.0
William Owen Cowger,1922-01-01,01-01,M,rep,1967-01-10,1969-01-03,KY,,3.0,Republican,,Capricorn,45.0,45.0,47.0,47.0,724.0,1.0,11.0
William Cato Cramer,1922-08-04,08-04,M,rep,1955-01-05,1957-01-03,FL,,1.0,Republican,,Leo,32.0,32.0,34.0,34.0,729.0,1.0,12.0
Glenn Clarence Cunningham,1912-09-10,09-10,M,rep,1957-01-03,1959-01-03,NE,,2.0,Republican,,Virgo,44.0,44.0,46.0,46.0,730.0,2.0,0.0
Emilio Quincy Daddario,1918-09-24,09-24,M,rep,1959-01-07,1961-01-03,CT,,1.0,Democrat,,Libra,40.0,40.0,42.0,42.0,727.0,1.0,12.0
William Levi Dawson,1886-04-26,04-26,M,rep,1943-01-06,1945-01-03,IL,,1.0,Democrat,,Taurus,56.0,56.0,58.0,58.0,728.0,1.0,12.0
Robert Vernon Denney,1916-04-11,04-11,M,rep,1967-01-10,1969-01-03,NE,,1.0,Republican,,Aries,50.0,50.0,52.0,52.0,724.0,1.0,11.0
Peter Hoyt Dominick,1915-07-07,07-07,M,rep,1961-01-03,1963-01-03,CO,,2.0,Republican,,Cancer,45.0,45.0,47.0,47.0,730.0,2.0,0.0
Samuel James Ervin Jr.,1896-09-27,09-27,M,rep,1945-01-03,1947-01-03,NC,,10.0,Democrat,,Libra,48.0,48.0,50.0,50.0,730.0,2.0,0.0
Robert Ashton Everett,1915-02-24,02-24,M,rep,1957-01-03,1959-01-03,TN,,8.0,Democrat,,Pisces,41.0,41.0,43.0,43.0,730.0,2.0,0.0
George Hyde Fallon,1902-07-24,07-24,M,rep,1945-01-03,1947-01-03,MD,,4.0,Democrat,,Leo,42.0,42.0,44.0,44.0,730.0,2.0,0.0
Leonard  Farbstein,1902-10-12,10-12,M,rep,1957-01-03,1959-01-03,NY,,19.0,Democrat,,Libra,54.0,54.0,56.0,56.0,730.0,2.0,0.0
Michael Aloysius Feighan,1905-02-16,02-16,M,rep,1943-01-06,1945-01-03,OH,,20.0,Democrat,,Aquarius,37.0,37.0,39.0,39.0,728.0,1.0,12.0
Edgar Franklin Foreman,1933-12-22,12-22,M,rep,1963-01-09,1965-01-03,TX,,16.0,Republican,,Capricorn,29.0,29.0,31.0,31.0,725.0,1.0,12.0
Samuel Nathaniel Friedel,1898-04-18,04-18,M,rep,1953-01-03,1955-01-03,MD,,7.0,Democrat,,Aries,54.0,54.0,56.0,56.0,730.0,2.0,0.0
James William Fulbright,1905-04-09,04-09,M,rep,1943-01-06,1945-01-03,AR,,3.0,Democrat,,Aries,37.0,37.0,39.0,39.0,728.0,1.0,12.0
Jacob H. Gilbert,1920-06-17,06-17,M,rep,1959-01-07,1961-01-03,NY,,23.0,Democrat,,Gemini,38.0,38.0,40.0,40.0,727.0,1.0,12.0
Edward John Gurney,1914-01-12,01-12,M,rep,1963-01-09,1965-01-03,FL,,11.0,Republican,,Capricorn,49.0,49.0,51.0,51.0,725.0,1.0,12.0
Harold Everett Hughes,1922-02-10,02-10,M,sen,1969-01-03,1975-01-03,IA,3.0,,Democrat,,Aquarius,46.0,46.0,52.0,52.0,2191.0,6.0,0.0
Charles Samuel Joelson,1916-01-27,01-27,M,rep,1961-01-03,1963-01-03,NJ,,8.0,Democrat,,Aquarius,44.0,44.0,46.0,46.0,730.0,2.0,0.0
Michael Joseph Kirwan,1886-12-02,12-02,M,rep,1937-01-05,1939-01-03,OH,,19.0,Democrat,,Sagittarius,50.0,50.0,52.0,52.0,728.0,1.0,12.0
Thomas Savig Kleppe,1919-07-01,07-01,M,rep,1967-01-10,1969-01-03,ND,,2.0,Republican,,Cancer,47.0,47.0,49.0,49.0,724.0,1.0,11.0
Melvin Robert Laird,1922-09-01,09-01,M,rep,1953-01-03,1955-01-03,WI,,7.0,Republican,,Virgo,30.0,30.0,32.0,32.0,730.0,2.0,0.0
Odin Elsford Stanley Langen,1913-01-05,01-05,M,rep,1959-01-07,1961-01-03,MN,,9.0,Republican,,Capricorn,46.0,46.0,48.0,48.0,727.0,1.0,12.0
Glenard Paul Lipscomb,1915-08-19,08-19,M,rep,1953-01-03,1955-01-03,CA,,24.0,Republican,,Leo,37.0,37.0,39.0,39.0,730.0,2.0,0.0
Allard Kenneth Lowenstein,1929-01-16,01-16,M,rep,1969-01-03,1971-01-03,NY,,5.0,Democrat,,Capricorn,39.0,39.0,41.0,41.0,730.0,2.0,0.0
Clark  MacGregor,1922-07-12,07-12,M,rep,1961-01-03,1963-01-03,MN,,3.0,Republican,,Cancer,38.0,38.0,40.0,40.0,730.0,2.0,0.0
John Otho Marsh Jr.,1926-08-07,08-07,M,rep,1963-01-09,1965-01-03,VA,,7.0,Democrat,,Leo,36.0,36.0,38.0,38.0,725.0,1.0,12.0
Catherine Dean May,1914-05-18,05-18,F,rep,1959-01-07,1961-01-03,WA,,4.0,Republican,,Taurus,44.0,44.0,46.0,46.0,727.0,1.0,12.0
Richard Dean McCarthy,1927-09-24,09-24,M,rep,1965-01-04,1967-01-03,NY,,39.0,Democrat,,Libra,37.0,37.0,39.0,39.0,729.0,1.0,12.0
John William McCormack,1891-12-21,12-21,M,rep,1927-12-05,1929-03-03,MA,,12.0,Democrat,,Sagittarius,35.0,35.0,37.0,37.0,454.0,1.0,2.0
Martin Boswell McKneally,1914-12-31,12-31,M,rep,1969-01-03,1971-01-03,NY,,27.0,Republican,,Capricorn,54.0,54.0,56.0,56.0,730.0,2.0,0.0
Thomas Joseph Meskill,1928-01-30,01-30,M,rep,1967-01-10,1969-01-03,CT,,6.0,Republican,,Aquarius,38.0,38.0,40.0,40.0,724.0,1.0,11.0
Chester Louis Mize,1917-12-25,12-25,M,rep,1965-01-04,1967-01-03,KS,,2.0,Republican,,Capricorn,47.0,47.0,49.0,49.0,729.0,1.0,12.0
William Thomas Murphy,1899-08-07,08-07,M,rep,1959-01-07,1961-01-03,IL,,3.0,Democrat,,Leo,59.0,59.0,61.0,61.0,727.0,1.0,12.0
Maston Emmett O’Neal Jr.,1907-07-19,07-19,M,rep,1965-01-04,1967-01-03,GA,,2.0,Democrat,,Cancer,57.0,57.0,59.0,59.0,729.0,1.0,12.0
Arnold  Olsen,1916-12-17,12-17,M,rep,1961-01-03,1963-01-03,MT,,1.0,Democrat,,Sagittarius,44.0,44.0,46.0,46.0,730.0,2.0,0.0
Philip Joseph Philbin,1898-05-29,05-29,M,rep,1943-01-06,1945-01-03,MA,,3.0,Democrat,,Gemini,44.0,44.0,46.0,46.0,728.0,1.0,12.0
Howard Wallace Pollock,1920-04-11,04-11,M,rep,1967-01-10,1969-01-03,AK,,0.0,Republican,,Aries,46.0,46.0,48.0,48.0,724.0,1.0,11.0
Adam Clayton Powell Jr.,1908-11-29,11-29,M,rep,1945-01-03,1947-01-03,NY,,22.0,Democrat,,Sagittarius,36.0,36.0,38.0,38.0,730.0,2.0,0.0
Benjamin  Reifel,1906-09-19,09-19,M,rep,1961-01-03,1963-01-03,SD,,1.0,Republican,,Virgo,54.0,54.0,56.0,56.0,730.0,2.0,0.0
Edwin  Reinecke,1924-01-07,01-07,M,rep,1965-01-04,1967-01-03,CA,,27.0,Republican,,Capricorn,41.0,41.0,43.0,43.0,729.0,1.0,12.0
Lucius Mendel Rivers,1905-09-28,09-28,M,rep,1941-01-03,1943-01-03,SC,,1.0,Democrat,,Libra,35.0,35.0,37.0,37.0,730.0,2.0,0.0
Byron Giles Rogers,1900-08-01,08-01,M,rep,1951-01-03,1953-01-03,CO,,1.0,Democrat,,Leo,50.0,50.0,52.0,52.0,731.0,2.0,0.0
Daniel John Ronan,1914-07-13,07-13,M,rep,1965-01-04,1967-01-03,IL,,6.0,Democrat,,Cancer,50.0,50.0,52.0,52.0,729.0,1.0,12.0
Richard Lowell Roudebush,1918-01-18,01-18,M,rep,1961-01-03,1963-01-03,IN,,6.0,Republican,,Capricorn,42.0,42.0,44.0,44.0,730.0,2.0,0.0
Donald Henry Rumsfeld,1932-07-09,07-09,M,rep,1963-01-09,1965-01-03,IL,,13.0,Republican,,Cancer,30.0,30.0,32.0,32.0,725.0,1.0,12.0
William Bart Saxbe,1916-06-24,06-24,M,sen,1969-01-03,1974-01-03,OH,3.0,,Republican,,Cancer,52.0,52.0,57.0,57.0,1826.0,5.0,0.0
Henry Carl Schadeberg,1913-10-12,10-12,M,rep,1961-01-03,1963-01-03,WI,,1.0,Republican,,Libra,47.0,47.0,49.0,49.0,730.0,2.0,0.0
Ralph Tyler Smith,1915-10-06,10-06,M,sen,1969-09-17,1971-01-03,IL,3.0,,Republican,appointment,Libra,53.0,53.0,55.0,55.0,473.0,1.0,3.0
William Leon St. Onge,1914-10-09,10-09,M,rep,1963-01-09,1965-01-03,CT,,2.0,Democrat,,Libra,48.0,48.0,50.0,50.0,725.0,1.0,12.0
James Boyd Utt,1899-03-11,03-11,M,rep,1953-01-03,1955-01-03,CA,,28.0,Republican,,Pisces,53.0,53.0,55.0,55.0,730.0,2.0,0.0
George Robert Watkins,1902-05-21,05-21,M,rep,1965-01-04,1967-01-03,PA,,7.0,Republican,,Gemini,62.0,62.0,64.0,64.0,729.0,1.0,12.0
Albert William Watson,1922-08-30,08-30,M,rep,1963-01-09,1965-01-03,SC,,2.0,Democrat,,Virgo,40.0,40.0,42.0,42.0,725.0,1.0,12.0
John Schiller Wold,1916-08-31,08-31,M,rep,1969-01-03,1971-01-03,WY,,0.0,Republican,,Virgo,52.0,52.0,54.0,54.0,730.0,2.0,0.0
Richard Milhous Nixon,1913-01-09,01-09,M,rep,1947-01-03,1949-01-03,CA,,12.0,Republican,,Capricorn,34.0,34.0,36.0,36.0,731.0,2.0,0.0
Watkins Moorman Abbitt,1908-05-21,05-21,M,rep,1947-01-03,1949-01-03,VA,,4.0,Democrat,,Gemini,38.0,38.0,40.0,40.0,731.0,2.0,0.0
Thomas Gerstle Abernethy,1903-05-16,05-16,M,rep,1943-01-06,1945-01-03,MS,,4.0,Democrat,,Taurus,39.0,39.0,41.0,41.0,728.0,1.0,12.0
William Robert Anderson,1921-06-17,06-17,M,rep,1965-01-04,1967-01-03,TN,,6.0,Democrat,,Gemini,43.0,43.0,45.0,45.0,729.0,1.0,12.0
Elizabeth Bullock Andrews,1911-02-12,02-12,F,rep,1971-01-21,1973-01-03,AL,,3.0,Democrat,,Aquarius,59.0,59.0,61.0,61.0,713.0,1.0,11.0
George William Andrews,1906-12-12,12-12,M,rep,1943-01-06,1945-01-03,AL,,3.0,Democrat,,Sagittarius,36.0,36.0,38.0,38.0,728.0,1.0,12.0
Wayne Norviel Aspinall,1896-04-03,04-03,M,rep,1949-01-03,1951-01-03,CO,,4.0,Democrat,,Aries,52.0,52.0,54.0,54.0,730.0,2.0,0.0
Walter Stephan Baring Jr.,1911-09-09,09-09,M,rep,1949-01-03,1951-01-03,NV,,0.0,Democrat,,Virgo,37.0,37.0,39.0,39.0,730.0,2.0,0.0
John Glenn Beall Jr.,1927-06-19,06-19,M,rep,1969-01-03,1971-01-03,MD,,6.0,Republican,,Gemini,41.0,41.0,43.0,43.0,730.0,2.0,0.0
Nicholas Joseph Begich,1932-04-06,04-06,M,rep,1971-01-21,1973-01-03,AK,,0.0,Democrat,,Aries,38.0,38.0,40.0,40.0,713.0,1.0,11.0
Page Henry Belcher,1899-04-21,04-21,M,rep,1951-01-03,1953-01-03,OK,,8.0,Republican,,Taurus,51.0,51.0,53.0,53.0,731.0,2.0,0.0
Jackson Edward Betts,1904-05-26,05-26,M,rep,1951-01-03,1953-01-03,OH,,8.0,Republican,,Gemini,46.0,46.0,48.0,48.0,731.0,2.0,0.0
Leonard Ray Blanton,1930-04-10,04-10,M,rep,1967-01-10,1969-01-03,TN,,7.0,Democrat,,Aries,36.0,36.0,38.0,38.0,724.0,1.0,11.0
Thomas Hale Boggs Sr.,1914-02-15,02-15,M,rep,1941-01-03,1943-01-03,LA,,2.0,Democrat,,Aquarius,26.0,26.0,28.0,28.0,730.0,2.0,0.0
Frank Townsend Bow,1901-02-20,02-20,M,rep,1951-01-03,1953-01-03,OH,,16.0,Republican,,Pisces,49.0,49.0,51.0,51.0,731.0,2.0,0.0
William Emerson Brock III,1930-11-23,11-23,M,rep,1963-01-09,1965-01-03,TN,,3.0,Republican,,Sagittarius,32.0,32.0,34.0,34.0,725.0,1.0,12.0
James Lane Buckley,1923-03-09,03-09,M,sen,1971-01-21,1977-01-03,NY,1.0,,Conservative,,Pisces,47.0,47.0,53.0,53.0,2174.0,5.0,11.0
James Aloysius Byrne,1906-06-22,06-22,M,rep,1953-01-03,1955-01-03,PA,,3.0,Democrat,,Cancer,46.0,46.0,48.0,48.0,730.0,2.0,0.0
John William Byrnes,1913-06-12,06-12,M,rep,1945-01-03,1947-01-03,WI,,8.0,Republican,,Gemini,31.0,31.0,33.0,33.0,730.0,2.0,0.0
Earle  Cabell,1906-10-27,10-27,M,rep,1965-01-04,1967-01-03,TX,,5.0,Democrat,,Scorpio,58.0,58.0,60.0,60.0,729.0,1.0,12.0
Patrick Thomson Caffery,1932-07-06,07-06,M,rep,1969-01-03,1971-01-03,LA,,3.0,Democrat,,Cancer,36.0,36.0,38.0,38.0,730.0,2.0,0.0
Cliffard Dale Carlson,1915-12-30,12-30,M,rep,1971-01-21,1973-01-03,IL,,15.0,Republican,,Capricorn,55.0,55.0,57.0,57.0,713.0,1.0,11.0
Emanuel  Celler,1888-05-06,05-06,M,rep,1923-12-03,1925-03-03,NY,,10.0,Democrat,,Taurus,35.0,35.0,36.0,36.0,456.0,1.0,3.0
William Meyers Colmer,1890-02-11,02-11,M,rep,1933-03-09,1935-01-03,MS,,6.0,Democrat,,Aquarius,43.0,43.0,44.0,44.0,665.0,1.0,10.0
William Sheldrick Conover II,1928-08-27,08-27,M,rep,1971-01-21,1973-01-03,PA,,27.0,Republican,,Virgo,42.0,42.0,44.0,44.0,713.0,1.0,11.0
Robert James Corbett,1905-08-25,08-25,M,rep,1939-01-03,1941-01-03,PA,,30.0,Republican,,Virgo,33.0,33.0,35.0,35.0,731.0,2.0,0.0
William Prather Curlin Jr.,1933-11-30,11-30,M,rep,1971-01-21,1973-01-03,KY,,6.0,Democrat,,Sagittarius,37.0,37.0,39.0,39.0,713.0,1.0,11.0
Jorge Luis Córdova Díaz,1907-04-20,04-20,M,rep,1969-01-03,1971-01-03,PR,,0.0,New Progressive,,Taurus,61.0,61.0,63.0,63.0,730.0,2.0,0.0
John Goodchild Dow,1905-05-06,05-06,M,rep,1965-01-04,1967-01-03,NY,,27.0,Democrat,,Taurus,59.0,59.0,61.0,61.0,729.0,1.0,12.0
John Vernard Dowdy,1912-02-11,02-11,M,rep,1951-01-03,1953-01-03,TX,,7.0,Democrat,,Aquarius,38.0,38.0,40.0,40.0,731.0,2.0,0.0
Florence Price Dwyer,1902-07-04,07-04,F,rep,1957-01-03,1959-01-03,NJ,,6.0,Republican,,Cancer,54.0,54.0,56.0,56.0,730.0,2.0,0.0
Edmond Augustus Edmondson,1919-04-07,04-07,M,rep,1953-01-03,1955-01-03,OK,,2.0,Democrat,,Aries,33.0,33.0,35.0,35.0,730.0,2.0,0.0
Edwin Washington Edwards,1927-08-07,08-07,M,rep,1965-01-04,1967-01-03,LA,,7.0,Democrat,,Leo,37.0,37.0,39.0,39.0,729.0,1.0,12.0
Paul Jones Fannin,1907-01-29,01-29,M,sen,1965-01-04,1971-01-03,AZ,1.0,,Republican,,Aquarius,57.0,57.0,63.0,63.0,2190.0,6.0,0.0
Hiram Leong Fong,1906-10-15,10-15,M,sen,1959-01-07,1965-01-03,HI,1.0,,Republican,,Libra,52.0,52.0,58.0,58.0,2188.0,5.0,12.0
James Grove Fulton,1903-03-01,03-01,M,rep,1945-01-03,1947-01-03,PA,,31.0,Republican,,Pisces,41.0,41.0,43.0,43.0,730.0,2.0,0.0
Nick  Galifianakis,1928-07-22,07-22,M,rep,1967-01-10,1969-01-03,NC,,5.0,Democrat,,Cancer,38.0,38.0,40.0,40.0,724.0,1.0,11.0
Cornelius Edward Gallagher,1921-03-02,03-02,M,rep,1959-01-07,1961-01-03,NJ,,13.0,Democrat,,Pisces,37.0,37.0,39.0,39.0,727.0,1.0,12.0
David Henry Gambrell,1929-12-20,12-20,M,sen,1971-02-01,1973-01-03,GA,2.0,,Democrat,appointment,Sagittarius,41.0,41.0,43.0,43.0,702.0,1.0,11.0
Edward Alexander Garmatz,1903-02-07,02-07,M,rep,1947-01-03,1949-01-03,MD,,3.0,Democrat,,Aquarius,43.0,43.0,45.0,45.0,731.0,2.0,0.0
Charles Hudson Griffin,1926-05-09,05-09,M,rep,1967-01-10,1969-01-03,MS,,3.0,Democrat,,Taurus,40.0,40.0,42.0,42.0,724.0,1.0,11.0
George Elliott Hagan,1916-05-24,05-24,M,rep,1961-01-03,1963-01-03,GA,,1.0,Democrat,,Gemini,44.0,44.0,46.0,46.0,730.0,2.0,0.0
Durward Gorham Hall,1910-09-14,09-14,M,rep,1961-01-03,1963-01-03,MO,,7.0,Republican,,Virgo,50.0,50.0,52.0,52.0,730.0,2.0,0.0
Seymour  Halpern,1913-11-19,11-19,M,rep,1959-01-07,1961-01-03,NY,,4.0,Republican,,Scorpio,45.0,45.0,47.0,47.0,727.0,1.0,12.0
Philip Aloysius Hart,1912-12-10,12-10,M,sen,1959-01-07,1965-01-03,MI,1.0,,Democrat,,Sagittarius,46.0,46.0,52.0,52.0,2188.0,5.0,12.0
Rupert Vance Hartke,1919-05-31,05-31,M,sen,1959-01-07,1965-01-03,IN,1.0,,Democrat,,Gemini,39.0,39.0,45.0,45.0,2188.0,5.0,12.0
Louise Day Hicks,1916-10-16,10-16,F,rep,1971-01-21,1973-01-03,MA,,9.0,Democrat,,Libra,54.0,54.0,56.0,56.0,713.0,1.0,11.0
Roman Lee Hruska,1904-08-16,08-16,M,rep,1953-01-03,1954-11-08,NE,,2.0,Republican,,Leo,48.0,48.0,50.0,50.0,674.0,1.0,10.0
William Raleigh Hull Jr.,1906-04-17,04-17,M,rep,1955-01-05,1957-01-03,MO,,6.0,Democrat,,Aries,48.0,48.0,50.0,50.0,729.0,1.0,12.0
Charles Raper Jonas,1904-12-09,12-09,M,rep,1953-01-03,1955-01-03,NC,,10.0,Republican,,Sagittarius,48.0,48.0,50.0,50.0,730.0,2.0,0.0
James  Kee,1917-04-15,04-15,M,rep,1965-01-04,1967-01-03,WV,,5.0,Democrat,,Aries,47.0,47.0,49.0,49.0,729.0,1.0,12.0
Hastings  Keith,1915-11-22,11-22,M,rep,1959-01-07,1961-01-03,MA,,9.0,Republican,,Sagittarius,43.0,43.0,45.0,45.0,727.0,1.0,12.0
John Henry Kyl,1919-05-09,05-09,M,rep,1959-01-07,1961-01-03,IA,,4.0,Republican,,Taurus,39.0,39.0,41.0,41.0,727.0,1.0,12.0
